Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Abdihakem Abdirahman,United States of America,35,180,61,M,1/1/1977,HARGISA (SOM),0,0,0,0,Athletics,Men's Marathon
Ayele Abshero,Ethiopia,21,168,62,M,12/28/1990,YEBOBA (ETH),0,0,0,0,Athletics,Men's Marathon
Methkal Abu Drais,Jordan,28,168,62,M,12/29/1983,ALARDAH (JOR),0,0,0,0,Athletics,Men's Marathon
Miguel Angel Almachi,Ecuador,27,169,55,M,5/2/1985,QUITO (ECU),0,0,0,0,Athletics,Men's Marathon
Grigoriy Andreev,Russian Federation,36,180,70,M,1/7/1976,Bashkortostan (RUS),0,0,0,0,Athletics,Men's Marathon
Adil Annani,Morocco,32,172,56,M,6/30/1980,OLD AMLOUL (MAR),0,0,0,0,Athletics,Men's Marathon
Lusapho April,South Africa,30,172,50,M,5/24/1982,Uitenhage (RSA),0,0,0,0,Athletics,Men's Marathon
Yared Asmerom,Eritrea,32,171,58,M,2/4/1980,Asmara (ERI),0,0,0,0,Athletics,Men's Marathon
Ivan Babaryka,Ukraine,29,180,69,M,11/11/1982,Dnipropetrovsk (UKR),0,0,0,0,Athletics,Men's Marathon
Mohammed Abduh Bakhet,Qatar,24,155,50,M,12/25/1987,Doha (QAT),0,0,0,0,Athletics,Men's Marathon
Miguel Barzola,Argentina,30,172,54,M,5/14/1982,BRAGADO (ARG),0,0,0,0,Athletics,Men's Marathon
Ser-Od Bat-Ochir,Mongolia,30,170,60,M,10/7/1981,GOBI,0,0,0,0,Athletics,Men's Marathon
Antoni Bernado,Andorra,45,175,64,M,12/9/1966,Sant Julia de Loria (AND),0,0,0,0,Athletics,Men's Marathon
Abderrahime Bouramdane,Morocco,34,170,58,M,1/1/1978,AIN KANSARA (MAR),0,0,0,0,Athletics,Men's Marathon
Urige Buta,Norway,33,,,M,11/28/1978,Ambo (ETH),0,0,0,0,Athletics,Men's Marathon
Ignacio Caceres,Spain,36,165,53,M,6/18/1976,Barcelona (ESP),0,0,0,0,Athletics,Men's Marathon
Juan Carlos Cardona,Colombia,37,168,60,M,9/7/1974,LA CEJA (COL),0,0,0,0,Athletics,Men's Marathon
Carles Castillejo,Spain,33,171,60,M,8/18/1978,Barcelona (ESP),0,0,0,0,Athletics,Men's Marathon
Marcin Chabowski,Poland,26,174,56,M,6/28/1986,WEJHEROWO (POL),0,0,0,0,Athletics,Men's Marathon
Chia-Che Chang,Taipei (Chinese Taipei),29,173,56,M,4/22/1983,TAIPEI COUNTY (TPE),0,0,0,0,Athletics,Men's Marathon
Reid Coolsaet,Canada,33,175,62,M,7/29/1979,Hamilton (CAN),0,0,0,0,Athletics,Men's Marathon
Anuradha Cooray,Sri Lanka,34,174,58,M,3/24/1978,DIVULAPITIYA (SRI),0,0,0,0,Athletics,Men's Marathon
Carlos Cordero,Mexico,35,159,54,M,1/7/1977,IRAPUATO (MEX),0,0,0,0,Athletics,Men's Marathon
Franck de Almeida,Brazil,29,173,49,M,2/6/1983,SETE LAGOAS (BRA),0,0,0,0,Athletics,Men's Marathon
Martin Dent,Australia,33,180,69,M,2/8/1979,WOKING (GBR),0,0,0,0,Athletics,Men's Marathon
Guojian Dong,People's Republic of China,25,170,53,M,3/16/1987,Yunnan (CHN),0,0,0,0,Athletics,Men's Marathon
Marilson dos Santos,Brazil,34,173,57,M,8/6/1977,Brasilia (BRA),0,0,0,0,Athletics,Men's Marathon
Ali Mabrouk El Zaidi,Libya,34,173,59,M,1/13/1978,Tripoli (LBA),0,0,0,0,Athletics,Men's Marathon
Jesper Faurschou,Denmark,29,183,63,M,7/1/1983,Herning (DEN),0,0,0,0,Athletics,Men's Marathon
Luis Feiteira,Portugal,39,177,60,M,4/21/1973,MOITA (POR),0,0,0,0,Athletics,Men's Marathon
Getu Feleke,Ethiopia,25,,,M,11/28/1986,ALELTU (ETH),0,0,0,0,Athletics,Men's Marathon
Tayeb Filali,Algeria,33,172,55,M,1/16/1979,GRAREM MILA (ALG),0,0,0,0,Athletics,Men's Marathon
Arata Fujiwara,Japan,30,167,54,M,9/12/1981,ISAHAYA (JPN),0,0,0,0,Athletics,Men's Marathon
Jose Amado Garcia,Guatemala,34,177,59,M,9/13/1977,SAN JERONIMO BAJA VERAPAZ (GUA),0,0,0,0,Athletics,Men's Marathon
Eric Gillis,Canada,32,172,58,M,3/8/1980,ANTIGONISH (CAN),0,0,0,0,Athletics,Men's Marathon
Guor Marial,Independent Olympic Athletes,28,180,60,M,4/15/1984,PANRIENG (SUD),0,0,0,0,Athletics,Men's Marathon
Zatara Mande Ilunga,Democratic Republic of the Congo,29,171,65,M,3/12/1983,KIPUSHI (COD),0,0,0,0,Athletics,Men's Marathon
