ID,Height (mm),Foot Length (mm)
1,1815.7,272.9
2,1676.8,252.7
3,1763.8,265.3
4,1593.5,233
5,1518.3,227.2
6,1739.5,261.8
7,1808.9,266.8
8,1651.7,260.1
9,1572,230.5
10,1888.7,276.4
11,1659.6,193.6
12,1614.6,236.1
13,1668.3,249.4
14,1712.5,261.5
15,1693.2,255.2
16,1683.6,263.1
17,1788.9,266.6
18,1710.1,263.6
19,1519.4,219.3
20,1646,241.5
21,1607.6,230.6
22,1737.9,259.3
23,1681.3,254.4
24,1639.6,233.8
25,1594.8,232.1
26,1627.7,239.8
27,1808.7,274.7
28,1618.4,200.8
29,1806.7,270.4
30,1584.6,232.2
31,1541.6,227.5
32,1787.4,265.1
33,1606,232.6
34,1576.4,224.3
35,1553.6,230.3
36,1668.2,258.5
37,1746.1,260.2
38,1798.7,272.4
39,1780.6,282.1
40,1741.9,261.5
41,1738.8,261.7
42,1592.1,232
43,1585.2,210.4
44,1812.4,275.4
45,1611.8,235.3
46,1562.3,237.9
47,1833.3,268.8
48,1631.2,242.3
49,1782.9,266.6
50,1607.3,233.9
51,1790.3,269.3
52,1627,234.1
53,1614.4,236.5
54,1764.5,263
55,1535.8,242.8
56,1699.5,261.8
57,1617.4,240.3
58,1735.6,260.8
59,1685.5,250.9
60,1555,227.2
61,1729.2,260.9
62,1769.8,265.2
63,1758.9,265.4
64,1630.2,247.2
65,1759.2,264.1
66,1577.4,237
67,1653.1,245.6
68,1550.9,227.4
69,1611.4,242
70,1857.3,283.1
71,1649.7,245.1
72,1614.8,236.7
73,1740,260.8
74,1771,265.7
75,1587.4,234.5
76,1670.8,251.4
77,1703.2,261.7
78,1856.1,275.9
79,1588.5,232.3
80,1687.6,255.2
81,1571.7,232.2
82,1818.3,268
83,1814.9,267.2
84,1611.5,245.3
85,1510.4,237.2
86,1713.1,260.4
87,1709.4,259.8
88,1604.1,231.4
89,1575.9,232.8
90,1620.5,241.3
91,1702.9,280.4
92,1643.3,231.7
93,1606,257
