ID,Gender,Height,Hand,Foot
1,Male,1815.7,214.8,272.9
2,Female,1676.8,201.4,252.7
3,Male,1763.8,210.5,265.3
4,Female,1593.5,189.5,233
5,Female,1518.3,184.6,227.2
6,Male,1739.5,207.9,261.8
7,Male,1808.9,213.3,266.8
8,Male,1651.7,200.6,260.1
9,Female,1572,188.2,230.5
10,Male,1888.7,227.7,276.4
11,Male,1659.6,173.2,193.6
12,Female,1614.6,191.6,236.1
13,Male,1668.3,199.4,249.4
14,Male,1712.5,204.7,261.5
15,Male,1693.2,202.9,255.2
16,Male,1683.6,204.5,263.1
17,Male,1788.9,211.2,266.6
18,Male,1710.1,204.2,263.6
19,Female,1519.4,177.2,219.3
20,Female,1646,195,241.5
21,Female,1607.6,188.4,230.6
22,Male,1737.9,205.5,259.3
23,Male,1681.3,204.2,254.4
24,Female,1639.6,191.3,233.8
25,Female,1594.8,189.2,232.1
26,Female,1627.7,193.6,239.8
27,Male,1808.7,214.5,274.7
28,Female,1618.4,193,200.8
29,Male,1806.7,213.7,270.4
30,Female,1584.6,189,232.2
31,Female,1541.6,182.7,227.5
32,Male,1787.4,212.8,265.1
33,Female,1606,189.1,232.6
34,Female,1576.4,194.5,224.3
35,Female,1553.6,186.8,230.3
36,Male,1668.2,199.5,258.5
37,Male,1746.1,208.2,260.2
38,Male,1798.7,213.2,272.4
39,Male,1780.6,212.3,282.1
40,Male,1741.9,208.4,261.5
41,Male,1738.8,207.4,261.7
42,Female,1592.1,188.9,232
43,Female,1585.2,178.9,210.4
44,Male,1812.4,214.2,275.4
45,Female,1611.8,190.8,235.3
46,Female,1562.3,190.6,237.9
47,Male,1833.3,215.2,268.8
48,Female,1631.2,195.1,242.3
49,Male,1782.9,210.4,266.6
50,Female,1607.3,190.2,233.9
51,Male,1790.3,212.6,269.3
52,Female,1627,191.3,234.1
53,Female,1614.4,191.3,236.5
54,Male,1764.5,209.9,263
55,Female,1535.8,188.6,242.8
56,Male,1699.5,203.8,261.8
57,Female,1617.4,193.7,240.3
58,Male,1735.6,206.5,260.8
59,Female,1685.5,202.1,250.9
60,Female,1555,184.9,227.2
61,Male,1729.2,205.3,260.9
62,Male,1769.8,210.6,265.2
63,Male,1758.9,208.8,265.4
64,Female,1630.2,196,247.2
65,Male,1759.2,209,264.1
66,Female,1577.4,189.3,237
67,Female,1653.1,196.6,245.6
68,Female,1550.9,184.9,227.4
69,Male,1611.4,194.1,242
70,Male,1857.3,219.5,283.1
71,Male,1649.7,199.4,245.1
72,Female,1614.8,191.5,236.7
73,Male,1740,207.1,260.8
74,Male,1771,210.4,265.7
75,Female,1587.4,190.4,234.5
76,Female,1670.8,198.6,251.4
77,Male,1703.2,205,261.7
78,Male,1856.1,217.9,275.9
79,Female,1588.5,188.5,232.3
80,Male,1687.6,202.3,255.2
81,Female,1571.7,188.5,232.2
82,Male,1818.3,213.4,268
83,Male,1814.9,212.5,267.2
84,Male,1611.5,195.1,245.3
85,Female,1510.4,184.7,237.2
86,Female,1713.1,202.3,260.4
87,Male,1709.4,203.7,259.8
88,Female,1604.1,189.9,231.4
89,Female,1575.9,187.5,232.8
90,Female,1620.5,193.7,241.3
91,Female,1702.9,214.6,280.4
92,Female,1643.3,190.3,231.7
93,Female,1606,195.6,257
