PhraseId,SentenceId,Phrase,Sentiment
1,3,would have a hard time sitting through this one,0
2,3,have a hard time sitting through this one,0
3,5,Aggressive self-glorification and a manipulative whitewash,0
4,5,self-glorification and a manipulative whitewash,0
5,7,Trouble Every Day is a plodding mess .,0
6,7,is a plodding mess,0
7,7,plodding mess,0
8,10,could hate it for the same reason,0
9,10,hate it,0
10,10,hate,0
11,16,baseball movies that try too hard to be mythic,0
12,32,a self-indulgent script,0
13,36,avoid,0
14,37,almost feels as if the movie is more interested in entertaining itself than in amusing us .,0
15,38,The movie 's progression into rambling incoherence gives new meaning to the phrase ` fatal script error . ',0
16,38,The movie 's progression into rambling incoherence,0
17,38,gives new meaning to the phrase ` fatal script error . ',0
18,38,` fatal script error,0
19,38,fatal script error,0
20,41,of narrative banality,0
21,42,bad,0
22,51,clunky TV-movie approach,0
23,53,the rest is just an overexposed waste of film,0
24,53,is just an overexposed waste of film,0
25,53,an overexposed waste of film,0
26,53,an overexposed waste,0
27,57,Run for your lives !,0
28,57,Run for your lives,0
29,61,makes your teeth hurt,0
30,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and the action scenes are poorly delivered,0
31,63,Its generic villains lack any intrigue -LRB- other than their funny accents -RRB- and,0
32,66,Downright transparent is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
33,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating .,0
34,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating,0
35,66,is the script 's endless assault of embarrassingly ham-fisted sex jokes,0
36,66,endless assault,0
37,66,embarrassingly ham-fisted sex jokes,0
38,67,impossible,0
39,78,goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub .,0
40,91,'s lazy for a movie to avoid solving one problem by trying to distract us with the solution to another,0
41,91,lazy for a movie,0
42,93,Disney scrape the bottom of its own cracker barrel,0
43,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0
44,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres,0
45,95,Scarcely worth a mention,0
46,95,Scarcely worth,0
47,95,apart from reporting on the number of tumbleweeds blowing through the empty theatres,0
48,95,on the number of tumbleweeds blowing through the empty theatres,0
49,95,of tumbleweeds blowing through the empty theatres,0
50,95,tumbleweeds blowing through the empty theatres,0
51,97,fails,0
52,99,'s not a particularly good film,0
53,108,is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,0
54,108,is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys,0
55,110,A mawkish self-parody that plays like some weird Masterpiece Theater sketch with neither a point of view nor a compelling reason for being,0
56,111,do n't like,0
57,111,is impossible to care about and is n't very funny,0
58,112,then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .,0
59,113,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .,0
60,113,this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
61,113,to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
62,113,#NAME?,0
63,113,as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
64,113,the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
65,113,is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
66,113,trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
67,113,to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
68,113,dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product,0
69,113,simply because the movie is ugly to look at and not a Hollywood product,0
70,113,the movie is ugly to look at and not a Hollywood product,0
71,113,ugly to look at and not a Hollywood product,0
72,114,bogged down in earnest dramaturgy,0
73,119,cheap,0
74,123,vulgar,0
75,129,at the expense of those who paid for it and those who pay to see it,0
76,134,It 's hard to say who might enjoy this,0
77,134,hard to say who might enjoy this,0
78,141,bad bluescreen,0
79,143,completely misses its emotions,0
80,152,There 's a scientific law to be discerned here that producers would be well to heed : Mediocre movies start to drag as soon as the action speeds up,0
81,155,stale and uninspired .,0
82,155,and uninspired .,0
83,155,uninspired .,0
84,161,could force you to scratch a hole in your head .,0
85,161,could force you to scratch a hole in your head,0
86,161,you to scratch a hole in your head,0
87,164,convoluted,0
88,166,violence,0
89,171,Nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,0
90,171,unfocused,0
91,172,dull,0
92,176,of the pool with an utterly incompetent conclusion,0
93,176,the pool with an utterly incompetent conclusion,0
94,176,with an utterly incompetent conclusion,0
95,176,an utterly incompetent conclusion,0
96,176,utterly incompetent conclusion,0
97,176,utterly incompetent,0
98,178,Horrendously amateurish filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
99,178,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible .,0
100,178,filmmaking that is plainly dull and visually ugly when it is n't incomprehensible,0
101,178,is plainly dull and visually ugly when it is n't incomprehensible,0
102,178,plainly dull and visually ugly,0
103,180,An awkwardly contrived exercise in magic realism,0
104,187,'s a great deal of corny dialogue and preposterous moments,0
105,187,of corny dialogue and preposterous moments,0
106,187,corny dialogue and preposterous moments,0
107,187,preposterous,0
108,190,The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .,0
109,190,is capped with pointless extremes,0
110,190,capped with pointless extremes,0
111,190,with pointless extremes,0
112,190,pointless,0
113,191,be disappointed,0
114,192,never plays as dramatic even when dramatic things happen to people .,0
115,194,generates plot points with a degree of randomness usually achieved only by lottery drawing .,0
116,196,can depress you about life itself,0
117,196,depress you,0
118,198,smug self-satisfaction,0
119,200,pomposity and pretentiousness,0
120,210,depressing,0
121,210,depraved,0
